USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0   3624  2048 ?        Ss   09:46   0:00 /sbin/init
root         2  0.0  0.0      0     0 ?        S    09:46   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/0]
root         4  0.0  0.0      0     0 ?        S    09:46   0:08 [kworker/0:0]
root         5  0.0  0.0      0     0 ?        S<   09:46   0:00 [kworker/0:0H]
root         7  0.0  0.0      0     0 ?        S    09:46   0:00 [migration/0]
root         8  0.0  0.0      0     0 ?        S    09:46   0:00 [rcu_bh]
root         9  0.0  0.0      0     0 ?        S    09:46   0:03 [rcu_sched]
root        10  0.0  0.0      0     0 ?        S    09:46   0:00 [watchdog/0]
root        11  0.0  0.0      0     0 ?        S    09:46   0:00 [watchdog/1]
root        12  0.0  0.0      0     0 ?        S    09:46   0:00 [migration/1]
root        13  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/1]
root        15  0.0  0.0      0     0 ?        S<   09:46   0:00 [kworker/1:0H]
root        16  0.0  0.0      0     0 ?        S    09:46   0:00 [watchdog/2]
root        17  0.0  0.0      0     0 ?        S    09:46   0:00 [migration/2]
root        18  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/2]
root        20  0.0  0.0      0     0 ?        S<   09:46   0:00 [kworker/2:0H]
root        21  0.0  0.0      0     0 ?        S    09:46   0:00 [watchdog/3]
root        22  0.0  0.0      0     0 ?        S    09:46   0:00 [migration/3]
root        23  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/3]
root        25  0.0  0.0      0     0 ?        S<   09:46   0:00 [kworker/3:0H]
root        26  0.0  0.0      0     0 ?        S    09:46   0:00 [watchdog/4]
root        27  0.0  0.0      0     0 ?        S    09:46   0:00 [migration/4]
root        28  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/4]
root        30  0.0  0.0      0     0 ?        S<   09:46   0:00 [kworker/4:0H]
